Vernier Format 2
robotVelData.cmbl 11/14/2019 22:07:14 .
Data Set
X	Y1	W	Z2	Y2	Z1
x	y1	w	z2	y2	z1
					

0	3.1	0	4.6	0	2.1
10	3.3	10	6.26667	10.3667	3.23333
20	11.0333	20	18.3667	7.93333	10.8333
30	18.8	30	27.9	16.8	22.9667
40	29.7	40	38.9333	26.1	30.4667
50	36.5333	50	46.0667	31.4667	37.4333
60	40.0667	60	52.0667	34.7	44.7667
70	39.4667	70	52.0667	30.4333	49.4333
80	39.4667	80	55.7	30.4333	49.4333
90	35.0333	90	60.4	26.4	56.7333
100	29.9333	100	65.9333	30.5667	66.9333
110	37.6333	110	69.7667	36.1333	70.2333
120	36.4667	120	73.4333	38.3333	71.0333
130	37.3	130	70.1667	39.7333	69.7667
140	37.5	140	68.2	40.3333	69.7333
150	41.4333	150	64.5	46.4667	65.5333
160	48.8	160	64.4333	51.1	64.3333
170	54.9	170	61.2333	55.1	63.3667
180	56.0667	180	61.2	55.9667	61.5333
190	56.8333	190	61	57.1333	61.7333
200	59.5	200	60.4333	60.8	62.1667
210	62.6333	210	62.1333	61.2333	64.3333
220	63.5333	220	61.8333	62.9333	62.4667
230	65.7	230	63.3667	64.9	63.5667
240	66.8667	240	63.2	69	63.2
250	67.1667	250	65.0667	70.0333	63.7667
260	87.1667	260	64.4333	78.7667	63.7
270	85.8	270	65.8667	74.1	63.1
280	83.3667	280	64.7	71.4	61.7
290	77.2333	290	63.6667	69.4333	62.8667
300	72.0333	300	63.9333	67.9333	62.9667
310	70.5333	310	62.6667	65.0333	61.6333
320	66.6	320	62.3667	64.9667	63.7333
330	65.1667	330	63.5	64.2	64.1667
340	64.7667	340	63.5333	61.6333	62.6
350	66.2	350	64.4667	64.6	62.1333
360	65.2	360	62.7667	64.4333	63.1333
370	64.7667	370	62.7667	63.1333	63.9333
380	68.0333	380	65.8667	63.9667	63.9333
390	68.0333	390	63.2333	63.9667	63.6
400	66.5333	400	63.8667	65.1333	64.7333
410	66.5	410	64.2	64.4	64.5333
420	65.6333	420	63.7	64.3667	64.4
430	63.7333	430	63.7	67.5333	64.6
440	62.4	440	63.3333	64.9	63.5667
450	64.8333	450	62.3333	64.4333	63.8667
460	62.6667	460	61.4	64.2667	64.2667
470	62.1667	470	64.1333	62.4	64.3
480	63.1333	480	62.7	62.7333	62.6333
490	63.4333	490	63.3667	61.7333	63.9667
500	61.4667	500	63.8667	62.2	62.7
510	61.9333	510	63.7	58.8667	61.6667
520	62.4	520	63.5333	59.9	62.7333
530	63.1333	530	63.5333	61.3667	62.9333
540	62.6333	540	63.3667	59.7333	62.9333
550	63.5333	550	62.6667	63.7667	62.5667
560	64.2333	560	60.2	64.4333	62.5667
570	59.4333	570	62	62.4	63.7667
580	58.1667	580	61.7333	61.2	63.7667
590	57.0667	590	61.6667	61.6	61.8667
600	56.2667	600	63.3	62.3667	65.6333
610	56.7667	610	63.7	61.3333	64.4
620	59.5	620	64.7	60.9667	63.5333
630	59.6667	630	63.3667	61.5	64.3
640	60.8	640	64	59.4333	63.5667
650	61.0667	650	63.8	60.3	62.7667
660	60.9667	660	61.4333	62.8333	62.7667
670	60.4667	670	62.2	62.9	63.4667
680	58.5667	680	63.3	63.1333	62.0667
690	56.8333	690	62.7	62.5667	61.4
700	55.7333	700	64.5	62	62.8
710	56.8667	710	64.0333	55.5333	63.1333
720	62	720	64.5333	56.4	63.1667
730	61.4667	730	64.3	56.5	63.4
740	61.6667	740	63.6	58.8	62.6333
750	63.4	750	62.7667	62.2	63.8667
760	64.1667	760	62.7667	63.2333	64.0667
770	62.9333	770	64.2333	63.8	64.0667
780	62.9333	780	63.7333	63.8	63.4
790	66.4667	790	64.3667	64.2667	64.2667
800	65.6333	800	64.4333	65.9	63.7
810	65.7667	810	65.3667	64.4	63.2333
820	67	820	64.9667	65.8333	64.5333
830	68.1	830	64.9333	68.4667	65.2333
840	68.4333	840	64.9667	66.8	65.0333
850	69.1333	850	61.4667	67	64.9333
860	66.8667	860	61.7667	66.6333	65.2667
870	65.8667	870	61.9667	65.4333	62.9
880	67.9	880	61.9667	64.5667	62.2333
890	68.4667	890	62.7333	68.0333	63.2667
900	68.2	900	63.9333	66.3333	63.1
910	66.8	910	63.1	67.8667	61.9333
920	65.8667	920	63.1667	67.7	63.2333
930	63.1667	930	64.2667	63.9667	63.1667
940	64.1333	940	64.5	65.5	63.1
950	64.1333	950	61.8333	65.5	62.1
960	62.2	960	64.7	63.5333	64.5667
970	60.7333	970	63.5667	64.3667	64.2667
980	61.8333	980	64.6333	61.4333	64.2
990	64.1667	990	63.7	65.8667	63.8
1000	63.9333	1000	64.8	63.4667	63.5667
1010	64.9667	1010	63.7	63.2	63.2
1020	65.5	1020	62.8667	64.3667	63.4333
1030	64.1667	1030	63.3	63.9	63.1667
1040	63.5667	1040	64.0667	64.1667	63.4667
1050	63.7	1050	61.9	62.7667	62.5
1060	62.9333	1060	64.2333	63.3333	64.3
1070	61.8333	1070	63.4333	62.1667	62.6667
1080	63.2667	1080	62.4667	62.7667	62.5333
1090	63.6667	1090	62.3333	63.0333	63.8333
1100	63.2667	1100	64.6667	62.8333	62.4
1110	64.2667	1110	62.6	63.1667	62.3333
1120	64.1	1120	61.5333	64.1	63.6333
1130	62.6667	1130	62.4	62.7333	64.1333
1140	62.3	1140	64.6333	62.8	62.6667
1150	62.5667	1150	62.4667	61.1333	64.5667
1160	61.6667	1160	62.6333	62.0667	65.6667
1170	62.2333	1170	63.1667	60.4667	63.8
1180	62.6667	1180	63.2667	60.5333	63.9667
1190	62.2667	1190	64.0333	62.3	64.4
1200	62.4667	1200	63.7667	61.1667	64
1210	62.7333	1210	63.7	64.2333	63.6667
1220	63.6667	1220	62.6333	62.3	64.4
1230	61.2667	1230	65	63.5333	62
1240	61.8	1240	63.6333	61.5	62.4333
1250	61.6	1250	64.9333	61.8	64.5333
1260	59.9	1260	63.0667	59.1	63.3667
1270	60.7	1270	63.1333	58.3	63.0667
1280	60.7333	1280	61.9667	62.3667	64.2
1290	61.4667	1290	64.1667	61.9333	63.3667
1300	61.7333	1300	62.8333	61.9	62.2667
1310	61.7333	1310	63.1	61.9	63.8333
1320	63.6333	1320	64.6667	63.9	64.6
1330	63.4	1330	63.2	62.0333	63.6667
1340	63.7333	1340	62.8	62.4333	63.8333
1350	64.6	1350	63.6333	62.6333	64.3
1360	64.2667	1360	63.6333	66.4667	63.6667
1370	63.1667	1370	63.8667	63.8667	63.6667
1380	64.0667	1380	63.4667	64.6333	64.1667
1390	65.4667	1390	63.6667	65.2	63.7333
1400	64.2333	1400	63.4667	64.4333	62.8667
1410	62.9333	1410	62.1	63.6667	62.9333
1420	61	1420	60.7667	59.8	63.7667
1430	50.5667	1430	64.0333	50.1	63.6
1440	42.5	1440	61.7	42.8	62.5667
1450	37.2333	1450	63.0333	36.2	63.6667
1460	34.0667	1460	62.7333	32.6	62.3667
1470	32.5	1470	63.7	31.1333	61.5667
1480	31.8333	1480	62.8	29.5667	62.9667
1490	28.8	1490	63.7333	28.4333	62.7333
1500	29.8667	1500	63.3667	27	62
1510	32.4	1510	62.7	26.3667	61.2333
1520	41.2333	1520	63.9333	26	64.9
1530	52.8667	1530	64.8667	33.1667	63.7333
1540	60.4667	1540	62.8667	45.2	63
1550	60.4667	1550	64.3333	54.9	64.7333
1560	59.7333	1560	63.7333	60.2	62.7
1570	58.8333	1570	63.9667	59.1333	61.7667
1580	57.1	1580	64.1	58.3	63.0333
1590	55.0333	1590	64.7	56.1333	64.2667
1600	51.7667	1600	64.2	52.1667	63.6667
1610	47.9667	1610	63.2667	48.7	63.3333
1620	32.9	1620	65.4333	41.5667	64.2667
1630	15.1667	1630	62.5667	17.7	64.6333
1640	-16.5333	1640	62.7667	-9.16667	64.0667
1650	-16.7333	1650	62.0667	-22	64.5667
1660	-13.7667	1660	63.2667	-20.5667	63.7667
1670	-13.7667	1670	61.0667	-15.9667	62.9667
1680	-4.16667	1680	62.6	-15.9667	62.9333
1690	-8	1690	62.6	-3.76667	64.0333
1700	-20.1	1700	63.2667	-2.96667	64.0333
1710	-27.1333	1710	63.5333	-25.9667	64.4333
1720	-30.7	1720	64.0667	-32.9667	65.6667
1730	-26.4333	1730	64.6	-34.4667	65.5
1740	-25.6667	1740	62.3333	-27.5	64.4667
1750	-33.7	1750	63.4	-26.4	63.9
1760	-42.0333	1760	63.5667	-32.9	63.0333
1770	-50.7667	1770	62.6667	-44.5333	62.5667
1780	-53	1780	61.9667	-51.5333	63.8333
1790	-57.0333	1790	62.6667	-56.1	63.2333
1800	-62.3	1800	63.4	-58.9667	62.9
1810	-65.5333	1810	62.7667	-61.3	63.9333
1820	-69.2	1820	64.4667	-65.3667	65.2333
1830	-72.4333	1830	63.1667	-73.6667	63.7333
1840	-74.2667	1840	62.5333	-72.7667	63.3333
1850	-74.5	1850	62.7333	-74.3333	62.8667
1860	-74.6	1860	63.7	-75.6333	64
1870	-73.1	1870	62.6333	-74.9333	62.8
1880	-73.1	1880	62.9	-76.2667	62.8
1890	-70.3	1890	53.4	-76.2667	61.4
1900	-72.3333	1900	44.5	-78.4	54.4667
1910	-72.4	1910	38.1667	-74.5	49.1
1920	-72.8	1920	34.0333	-74.9333	44.8667
1930	-73.9	1930	32.5333	-74.3	40.9667
1940	-72.2667	1940	30.9333	-76.4	36.7667
1950	-70.9	1950	28.0333	-77.6	33.5
1960	-72.0333	1960	22.3667	-75.0667	29.0333
1970	-68.0333	1970	17.7	-73.3333	23.5333
1980	-64.7333	1980	13.6	-71.0333	19.4667
1990	-64.3	1990	9.6	-67.4667	15.2333
2000	-61.6333	2000	9.6	-64.3667	11.4
2010	-59.8	2010	6.16667	-62.4667	10.2333
2020	-62.1333	2020	6.16667	-62.1	7.16667
2030	-62.6667	2030	1.43333	-62.7	1.8
2040	-63.2333	2040	1.43333	-63.0333	1.8
2050	-63.3333	2050	1.43333	-64.3	1.8
2060	-67	2060	1.43333	-63.8333	1.8
2070	-80.4	2070	1.43333	-65.2667	1
2080	-90.0333	2080	0.8	-76.6667	1
2090	-95.3333	2090	0.8	-82.7	1
2100	-98.0333	2100	0.8	-89.2667	-1.6
2110	-81.5	2110	-1.23333	-95.9667	-1.6
2120	-72.6	2120	-1.23333	-90.6	4.06667
2130	-69.1667	2130	2.73333	-76.8	4.73333
2140	-74.3333	2140	3.06667	-72.5	9.2
2150	-79.3667	2150	3.96667	-73.3	22.0333
2160	-80.6333	2160	17.6333	-78.3333	35.7667
2170	-80.3667	2170	40.2	-79.5333	50.7667
2180	-80.3667	2180	53.4667	-77.1667	68.7333
2190	-80.0333	2190	66.6	-77.1667	84.7
2200	-78.5667	2200	79.9333	-76.8	90.3667
2210	-81.4333	2210	88.5333	-78.8667	95.2667
2220	-83.9333	2220	92.9667	-81.3333	97
2230	-87.0333	2230	98.8333	-85.9667	100.633
2240	-88.6	2240	101.533	-84.7	104.467
2250	-89.2333	2250	101.9	-87.9667	105.1
2260	-92.1667	2260	106.2	-90.9333	105.9
2270	-91.4	2270	104.167	-90.7667	106.467
2280	-95.0667	2280	104.8	-94.6667	104.433
2290	-95.1	2290	105.233	-93.4333	106.367
